Name,Coords
El Dorado Hills,"-121.0490,38.6750"
Lemon Cove,"-119.0312,36.3790"
Dillon Beach,"-122.9560,38.2436"
Patterson Tract,"-119.2956,36.3795"
Redcrest,"-123.9474,40.3987"
Madera,"-120.0803,36.9640"
Brooktrails,"-123.3963,39.4429"
Geyserville,"-122.9034,38.7173"
Delhi,"-120.7759,37.4306"
Stanton,"-117.9935,33.8002"
Cobb,"-122.7230,38.8356"
Amador City,"-120.8232,38.4190"
Vallejo,"-122.2359,38.1133"
Scotts Valley,"-122.0118,37.0555"
Fish Camp,"-119.6374,37.4797"
Alpine,"-116.7585,32.8439"
Rowland Heights,"-117.8911,33.9716"
Alta,"-120.8033,39.2138"
North San Juan,"-121.1060,39.3718"
Mountain Mesa,"-118.4047,35.6411"
Shafter,"-119.2013,35.4794"
Bombay Beach,"-115.7306,33.3548"
Fairfax,"-122.5950,37.9884"
Round Mountain,"-121.9375,40.8005"
Avocado Heights,"-118.0026,34.0381"
Dunnigan,"-121.9741,38.8926"
Strathmore,"-119.0612,36.1438"
Inglewood,"-118.3444,33.9566"
Randsburg,"-117.6607,35.3680"
Granite Hills,"-116.9056,32.8033"
Burlingame,"-122.3669,37.5860"
Keddie,"-120.9525,40.0059"
Lodi,"-121.2933,38.1218"
Saticoy,"-119.1452,34.2819"
Avery,"-120.3790,38.1939"
Spreckels,"-121.6465,36.6247"
South Whittier,"-118.0311,33.9336"
Boron,"-117.6659,35.0164"
Cherry Valley,"-116.9694,33.9797"
Milpitas,"-121.8921,37.4340"
El Sobrante,"-117.4624,33.8724"
Exeter,"-119.1459,36.2940"
Whitewater,"-116.6873,33.9356"
Inyokern,"-117.8213,35.6546"
Rackerby,"-121.3542,39.4261"
Pajaro Dunes,"-121.8101,36.8722"
Adin,"-120.9494,41.1964"
Lake Nacimiento,"-120.8702,35.7309"
Live Oak,"-121.6624,39.2788"
Fort Jones,"-122.8409,41.6086"
Rancho Cordova,"-121.2523,38.5740"
Black Point-Green Point,"-122.5190,38.1120"
Manhattan Beach,"-118.3972,33.8895"
Montecito,"-119.6286,34.4382"
El Monte,"-118.0291,34.0739"
Bostonia,"-116.9479,32.8189"
Palo Cedro,"-122.2363,40.5511"
Belmont,"-122.2955,37.5154"
Robbins,"-121.7055,38.8672"
Woodacre,"-122.6384,38.0052"
Sugarloaf Mountain Park,"-118.6039,35.8379"
Willowbrook,"-118.2362,33.9199"
Mather,"-121.2832,38.5489"
Los Berros,"-120.5451,35.0809"
Waterloo,"-121.1846,38.0365"
Callender,"-120.5759,35.0480"
Carmet,"-123.0720,38.3743"
Yosemite Lakes,"-119.7723,37.1886"
Buckhorn,"-120.5354,38.4532"
Edmundson Acres,"-118.8233,35.2273"
Grenada,"-122.5260,41.6406"
Montclair,"-117.6981,34.0714"
Buck Meadows,"-120.0653,37.8127"
Grimes,"-121.8988,39.0742"
Hayfork,"-123.1299,40.5610"
Indio,"-116.2346,33.7346"
Sierra City,"-120.6297,39.5740"
Mission Hills,"-120.4405,34.6861"
Valley Acres,"-119.4106,35.2087"
Montebello,"-118.1108,34.0155"
Newell,"-121.3675,41.8898"
Parksdale,"-120.0218,36.9462"
Graton,"-122.8660,38.4376"
Livingston,"-120.7248,37.3875"
Traver,"-119.4824,36.4526"
Floriston,"-120.0145,39.3930"
Montague,"-122.5302,41.7275"
Mesa,"-118.5424,37.4189"
Lompico,"-122.0523,37.1101"
Hidden Meadows,"-117.1198,33.2236"
La Vina,"-120.1147,36.8799"
Lindsay,"-119.0897,36.2082"
Bass Lake,"-119.5668,37.3280"
Calimesa,"-117.0542,33.9874"
Thousand Palms,"-116.3545,33.8150"
Modesto,"-121.0028,37.6374"
Pico Rivera,"-118.0888,33.9902"
East Rancho Dominguez,"-118.1956,33.8949"
Maricopa,"-119.4054,35.0517"
Wilton,"-121.2127,38.4130"
Ocotillo,"-116.0020,32.7431"
