Name,Coords
South Creek WA,"-122.3921,46.9994"
Roslyn WA,"-121.0989,47.2507"
Sprague WA,"-117.9713,47.3048"
Gig Harbor WA,"-122.5968,47.3352"
Lake Cassidy WA,"-122.0920,48.0639"
Tenino WA,"-122.8607,46.8537"
Jamestown WA,"-123.0911,48.1229"
Three Lakes WA,"-121.9924,47.9420"
Curlew Lake WA,"-118.6663,48.7311"
Chain Lake WA,"-121.9861,47.9038"
Pateros WA,"-119.8994,48.0536"
Rosburg WA,"-123.6344,46.3076"
Parkland WA,"-122.4376,47.1417"
Birch Bay WA,"-122.7543,48.9230"
Ashford WA,"-122.0113,46.7537"
Navy Yard City WA,"-122.6655,47.5508"
Omak WA,"-119.5159,48.4228"
Farmington WA,"-117.0464,47.0887"
Buckley WA,"-122.0200,47.1615"
Cathcart WA,"-122.1058,47.8525"
Poulsbo WA,"-122.6408,47.7417"
Anacortes WA,"-122.6292,48.4878"
Maplewood WA,"-122.5689,47.3715"
Creston WA,"-118.5200,47.7595"
Rockford WA,"-117.1307,47.4513"
Wishram WA,"-120.9698,45.6599"
Centralia WA,"-122.9695,46.7225"
South Hill WA,"-122.2848,47.1203"
Longview Heights WA,"-122.9577,46.1796"
Erlands Point-Kitsap Lake WA,"-122.7021,47.5973"
Amboy WA,"-122.4795,45.9122"
St. John WA,"-117.5887,47.0915"
Dallesport WA,"-121.1749,45.6316"
Ketron Island WA,"-122.6343,47.1569"
Mesa WA,"-119.0013,46.5737"
Fife WA,"-122.3518,47.2328"
Moses Lake North WA,"-119.3186,47.1949"
Chewelah WA,"-117.7336,48.2929"
Grayland WA,"-124.0898,46.8304"
Kittitas WA,"-120.4191,46.9837"
Camano WA,"-122.4708,48.1865"
Monroe North WA,"-121.9882,47.8830"
North Bonneville WA,"-121.9689,45.6425"
Klickitat WA,"-121.1626,45.8180"
Loon Lake WA,"-117.6298,48.0685"
Newport WA,"-117.0545,48.1788"
Mead WA,"-117.3500,47.7795"
Cashmere WA,"-120.4671,47.5175"
Aberdeen Gardens WA,"-123.7791,47.0587"
Ocean Shores WA,"-124.1521,46.9685"
Basin City WA,"-119.1567,46.5891"
Wilkeson WA,"-122.0495,47.1034"
Meadow Glade WA,"-122.5614,45.7524"
Arlington Heights WA,"-122.0630,48.2119"
Uniontown WA,"-117.0861,46.5391"
Oakesdale WA,"-117.2465,47.1305"
West Side Highway WA,"-122.9178,46.1841"
Conconully WA,"-119.7513,48.5571"
Latah WA,"-117.1557,47.2822"
Elma WA,"-123.4112,47.0055"
Tieton WA,"-120.7560,46.7026"
Southworth WA,"-122.5298,47.5126"
Danville WA,"-118.5068,48.9938"
Toppenish WA,"-120.3125,46.3807"
River Road WA,"-123.1276,48.0677"
Geneva WA,"-122.4064,48.7461"
Yakima WA,"-120.5496,46.5923"
Moxee WA,"-120.3968,46.5638"
Edmonds WA,"-122.3533,47.8114"
Kalama WA,"-122.8393,46.0171"
Laurier WA,"-118.2248,48.9974"
Vashon WA,"-122.4726,47.4122"
Country Homes WA,"-117.4197,47.7478"
Darrington WA,"-121.6029,48.2546"
Metaline Falls WA,"-117.3706,48.8616"
Lyle WA,"-121.2805,45.6956"
Cascade Valley WA,"-119.3272,47.1371"
Spangle WA,"-117.3812,47.4299"
Methow WA,"-120.0056,48.1289"
Waterville WA,"-120.0707,47.6480"
Lake Roesiger WA,"-121.9129,47.9839"
Milton WA,"-122.3154,47.2522"
Krupp WA,"-118.9886,47.4105"
Alderton WA,"-122.2192,47.1718"
DuPont WA,"-122.6496,47.1079"
Edgewood WA,"-122.2832,47.2309"
North Puyallup WA,"-122.2742,47.2015"
Pacific Beach WA,"-124.1967,47.2150"
Manson WA,"-120.1563,47.8858"
Brewster WA,"-119.7751,48.1034"
Battle Ground WA,"-122.5413,45.7764"
Shoreline WA,"-122.3426,47.7564"
Cosmopolis WA,"-123.7725,46.9541"
Airway Heights WA,"-117.5792,47.6459"
Grandview WA,"-119.9084,46.2431"
Inchelium WA,"-118.2372,48.3378"
Grand Coulee WA,"-119.0031,47.9391"
Union WA,"-123.0952,47.3475"
Torboy WA,"-118.6689,48.6772"
Kelso WA,"-122.8909,46.1248"
Westport WA,"-124.1120,46.8919"
Junction City WA,"-123.7651,46.9713"
Lake Ketchum WA,"-122.3480,48.2820"
West Pasco WA,"-119.1684,46.2497"
Des Moines WA,"-122.3154,47.3914"
Davenport WA,"-118.1519,47.6551"
Seattle WA,"-122.3244,47.6211"
Lake Stickney WA,"-122.2596,47.8709"
Carnation WA,"-121.9048,47.6446"
Everett WA,"-122.1670,47.9524"
Warden WA,"-119.0522,46.9674"
Palouse WA,"-117.0751,46.9103"
Terrace Heights WA,"-120.4482,46.6024"
Clarkston WA,"-117.0502,46.4152"
Elmer City WA,"-118.9534,48.0000"
Mossyrock WA,"-122.4887,46.5305"
Summit View WA,"-122.3468,47.1343"
Suquamish WA,"-122.5830,47.7238"
Newcastle WA,"-122.1633,47.5303"
Stanwood WA,"-122.3426,48.2451"
Kapowsin WA,"-122.2272,46.9727"
Donald WA,"-120.3923,46.4737"
Altoona WA,"-123.6145,46.2699"
South Prairie WA,"-122.0940,47.1373"
Eschbach WA,"-120.6337,46.6670"
Indianola WA,"-122.5142,47.7566"
Reardan WA,"-117.8778,47.6698"
Cowiche WA,"-120.7154,46.6729"
Sunday Lake WA,"-122.2684,48.2306"
Rocky Point WA,"-122.6668,47.5882"
Burbank WA,"-118.9728,46.1991"
Lakeland North WA,"-122.2814,47.3374"
Granite Falls WA,"-121.9704,48.0874"
Camas WA,"-122.4306,45.6003"
